fe_tag,outcome,endovar,param,coef,se,pval,partialF,rkf,nobs
"useryh","total_contributions_q100","var3","var6",.1406893119781586,.0083303275,0,209.745150663679,143.20746,519123
"useryh","total_contributions_q100","var3","var7",.1198382169755977,.024217576,7.4849942e-07,209.745150663679,143.20746,519123
"useryh","total_contributions_q100","var3","var4",.1480990335962916,.016276462,9.1501750e-20,209.745150663679,143.20746,519123
"useryh","total_contributions_q100","var5","var6",-.0001385534566423,.00021854066,.52608508,69.72831734188649,143.20746,519123
"useryh","total_contributions_q100","var5","var7",.2650175353530006,.022441663,3.5331487e-32,69.72831734188649,143.20746,519123
"useryh","total_contributions_q100","var5","var4",.6683495253814681,.015174547,0,69.72831734188649,143.20746,519123
"time","total_contributions_q100","var3","var6",.1497583223108495,.0088747358,0,104.7943473876857,.033545978,468789
"time","total_contributions_q100","var3","var7",.1155412003439403,.025148716,4.3427908e-06,104.7943473876857,.033545978,468789
"time","total_contributions_q100","var3","var4",.1553002568691306,.016852967,3.1247798e-20,104.7943473876857,.033545978,468789
"time","total_contributions_q100","var5","var6",-1.72387955940e-07,8.3355320e-07,.83615756,33.40087627552987,.033545978,468789
"time","total_contributions_q100","var5","var7",.2652979631395064,.02351379,1.6125891e-29,33.40087627552987,.033545978,468789
"time","total_contributions_q100","var5","var4",.6694211080892722,.015866686,0,33.40087627552987,.033545978,468789
"firm","total_contributions_q100","var3","var6",.1383038574126153,.0082601337,0,205.8605913059421,140.173,519099
"firm","total_contributions_q100","var3","var7",.1330158516876886,.025126455,1.1981201e-07,205.8605913059421,140.173,519099
"firm","total_contributions_q100","var3","var4",.1466114521031968,.016808758,2.7333079e-18,205.8605913059421,140.173,519099
"firm","total_contributions_q100","var5","var6",-1.07772657267e-17,5.5041503e-11,.99999982,65.42627206394202,140.173,519099
"firm","total_contributions_q100","var5","var7",.2713197091003055,.023718666,2.6895083e-30,65.42627206394202,140.173,519099
"firm","total_contributions_q100","var5","var4",.6668278811153617,.015962917,0,65.42627206394202,140.173,519099
"none","total_contributions_q100","var3","var6",.1497579619662478,.0088746278,0,104.7952819712218,.033496719,468789
"none","total_contributions_q100","var3","var7",.1155411329610065,.02514868,4.3427181e-06,104.7952819712218,.033496719,468789
"none","total_contributions_q100","var3","var4",.1553027081387234,.016852977,3.1207027e-20,104.7952819712218,.033496719,468789
"none","total_contributions_q100","var5","var6",3.79733940410e-16,,,,.033496719,468789
"none","total_contributions_q100","var5","var7",.2652990949272507,.023513602,1.6100410e-29,,.033496719,468789
"none","total_contributions_q100","var5","var4",.6694196595410776,.015866555,0,,.033496719,468789
"industrytime","total_contributions_q100","var3","var6",.0443282474705834,.0095063616,3.1169800e-06,23.39458195466701,11.523299,515817
"industrytime","total_contributions_q100","var3","var7",.1091803266225697,.02765364,.000078772639,23.39458195466701,11.523299,515817
"industrytime","total_contributions_q100","var3","var4",.1793288104470661,.018648684,6.8622760e-22,23.39458195466701,11.523299,515817
"industrytime","total_contributions_q100","var5","var6",-.0018723552756792,.0015481494,.22650398,79.00884803369816,11.523299,515817
"industrytime","total_contributions_q100","var5","var7",.2957373344485711,.024307845,4.7481844e-34,79.00884803369816,11.523299,515817
"industrytime","total_contributions_q100","var5","var4",.6549835397084616,.016266754,0,79.00884803369816,11.523299,515817
"msatime","total_contributions_q100","var3","var6",.1706098548794747,.0085753435,0,268.8359346103464,195.26498,518431
"msatime","total_contributions_q100","var3","var7",.1219724288498519,.026069485,2.8871179e-06,268.8359346103464,195.26498,518431
"msatime","total_contributions_q100","var3","var4",.1488335705017298,.017456142,1.5170808e-17,268.8359346103464,195.26498,518431
"msatime","total_contributions_q100","var5","var6",.001264651062866,.00042318815,.0028046512,68.10847128068491,195.26498,518431
"msatime","total_contributions_q100","var5","var7",.2751065018594664,.024476605,2.6271520e-29,68.10847128068491,195.26498,518431
"msatime","total_contributions_q100","var5","var4",.6638555892589093,.016429093,0,68.10847128068491,195.26498,518431
"msaindustrytime","total_contributions_q100","var3","var6",.0366273661708724,.009956236,.00023432498,9.036430348366668,7.5004687,508510
"msaindustrytime","total_contributions_q100","var3","var7",.0397801402779212,.029506523,.17760073,9.036430348366668,7.5004687,508510
